country_code,region_name,iata,icao,airport,latitude,longitude
CD,Nord-Kivu,GOM,FZNA,Goma International Airport,-1.670809984,29.2385006
CD,Bas-Uele,BZU,FZKJ,Buta Zega Airport,2.818350077,24.79369926
CD,Mongala,LIQ,FZGA,Lisala Airport,2.17066,21.496901
CD,Kasai,PFR,FZVS,Ilebo Airport,-4.329919,20.590124
CD,Kongo Central,LZI,FZAL,Luozi Airport,-4.949999809,14.13300037
CD,Sud-Ubangi,LIE,FZFA,Libenge Airport,3.632999897,18.63299942
CD,Kasai Oriental,LJA,FZVA,Lodja Airport,-3.417000055,23.45000076
CD,Tshopo,FKI,FZIC,Bangoka International Airport,0.481638998,25.33799934
CD,Kasai,KGA,FZUA,Kananga Airport,-5.900050163,22.46920013
CD,Sankuru,IKL,FZGV,Ikela Airport,-1.048109,23.372501
CD,Mai-Ndombe,LUS,FZCE,Lusanga Airport,-4.800000191,18.71699905
CD,Kongo Central,NKL,FZAR,Nkolo-Fuma Airport,-5.421,14.8169
CD,Mai-Ndombe,MSM,FZCV,Masi-Manimba Airport,-4.782999992,17.85000038
CD,Nord-Kivu,IRP,FZJH,Matari Airport,2.827610016,27.5883007
CD,Tshopo,YAN,FZIR,Yangambi Airport,0.782999992,24.46699905
CD,Kasai Oriental,LBO,FZVI,Lusambo Airport,-4.961669922,23.37829971
CD,Maniema,PUN,FZOP,Punia Airport,-1.366999984,26.33300018
CD,Haut-Katanga,PWO,FZQC,Pweto Airport,-8.467000008,28.88299942
CD,Mai-Ndombe,IDF,FZCB,Idiofa Airport,-5,19.60000038
CD,Kinshasa,FIH,FZAA,N'djili Airport (Kinshasa Int'l Airport),-4.38575,15.4446
CD,Kasai,LZA,FZUG,Luiza Airport,-7.183000088,22.39999962
CD,Mai-Ndombe,FDU,FZBO,Bandundu Airport,-3.311320066,17.38170052
CD,Kasai Oriental,MJM,FZWA,Mbuji Mayi Airport,-6.121240139,23.56900024
CD,Equateur,MDK,FZEA,Mbandaka Airport,0.022600001,18.2887001
CD,Mongala,BMB,FZFU,Bumba Airport,2.18278,22.481701
CD,Ituri,BUX,FZKA,Bunia Airport,1.565719962,30.2208004
CD,Maniema,KND,FZOA,Kindu Airport,-2.919179916,25.91539955
CD,Tanganyika,KBO,FZRM,Kabalo Airport,-6.083000183,26.91699982
CD,Tanganyika,BDV,FZRB,Moba Airport,-7.066999912,29.78300095
CD,Kasai,TSH,FZUK,Tshikapa Airport,-6.43833,20.794701
CD,Maniema,KLY,FZOD,Kamisuku Airport,-2.578000069,26.73399925
CD,Equateur,BDT,FZFD,Gbadolite Airport,4.253210068,20.97529984
CD,Kinshasa,NLO,FZAB,N'Dolo Airport,-4.326660156,15.32750034
CD,Nord-Ubangi,KLI,FZFP,Kotakoli Air Base,4.15763998,21.65089989
CD,Tshuapa,BNB,FZGN,Boende Airport,-0.216999993,20.85000038
CD,Nord-Kivu,BNC,FZNP,Beni Airport,0.575,29.4739
CD,Haut-Katanga,KNM,FZTK,Kaniama Airport,-7.583000183,24.14999962
CD,Kongo Central,BOA,FZAJ,Boma Airport,-5.854000092,13.06400013
CD,Haut-Katanga,FBM,FZQA,Lubumbashi International Airport,-11.59130001,27.53089905
CD,Mai-Ndombe,KKW,FZCA,Kikwit Airport,-5.035769939,18.78560066
CD,Nord-Kivu,RUE,,Butembo Airport,0.117142,29.312992
CD,Kasai Oriental,KBN,FZWT,Tunta Airport,-6.132999897,24.4829998
CD,Sud-Ubangi,GMA,FZFK,Gemena Airport,3.235369921,19.77129936
CD,Tanganyika,FMI,FZRF,Kalemie Airport,-5.875559807,29.25
CD,Sud-Kivu,BKY,FZMA,Kavumu Airport,-2.308979988,28.80879974
CD,Haut-Katanga,KAP,FZSK,Kapanga Airport,-8.350000381,22.58300018
CD,Tanganyika,KOO,FZRQ,Kongolo Airport,-5.39444,26.99
CD,Tanganyika,MNO,FZRA,Manono Airport,-7.288889885,27.39439964
CD,Kongo Central,MAT,FZAM,Matadi Tshimpi Airport,-5.799610138,13.44040012
CD,Haut-Katanga,KIL,,Kilwa Airport,-9.2886,28.3269
CD,Kongo Central,MNB,FZAG,Muanda Airport (Moanda Airport),-5.930860043,12.35179996
CD,Mai-Ndombe,KRZ,FZBT,Basango Mboliasa Airport,-1.434999943,19.02400017
CD,Kasai,MEW,FZVM,Mweka Airport,-4.849999905,21.54999924
CD,Kasai Oriental,GDJ,FZWC,Gandajika Airport,-6.733,23.950001
CD,Mai-Ndombe,KGN,FZOK,Kasongo Lunda Airport,-4.532999992,26.61700058
CD,Mai-Ndombe,NIO,FZBI,Nioki Airport,-2.717499971,17.68470001
CF,Haute-Kotto,ODA,FEFW,Ouadda Airport,8.010560036,22.39859962
CF,Haut-Mbomou,IMO,FEFZ,Zemio Airport,5.050000191,25.14999962
CF,Vakaga,GDI,,Gordil Airport,9.581117,21.728172
CF,Bangui,BGF,FEFF,Bangui M'Poko International Airport,4.398479939,18.51880074
CF,Mbomou,RFA,FEGR,Rafai Airport,4.988609791,23.92779922
CF,Mambere-Kadei,BBT,FEFT,Berberati Airport,4.221580029,15.78639984
CF,Haute-Kotto,AIG,FEFY,Yalinga Airport,6.519999981,23.26000023
CF,Mbomou,BMF,FEGM,Bakouma Airport,5.693999767,22.8010006
